log10c0,omega,deltaE,gtype,h,id
-3,[0;6.689598028690396e-06],[0;0.05],linear,NaN,327
-3,[0;6.689598028690396e-06],[0;0.05],hill,1,328
-3,[0;6.793428133517661e-06],[0;0.05],linear,NaN,329
-3,[0;6.793428133517661e-06],[0;0.05],hill,1,330
-3,[0;6.898869798654247e-06],[0;0.05],linear,NaN,331
-3,[0;6.898869798654247e-06],[0;0.05],hill,1,332
-3,[0;7.005948037333434e-06],[0;0.05],linear,NaN,333
-3,[0;7.005948037333434e-06],[0;0.05],hill,1,334
-3,[0;7.114688251022031e-06],[0;0.05],linear,NaN,335
-3,[0;7.114688251022031e-06],[0;0.05],hill,1,336
-3,[0;7.225116235446313e-06],[0;0.05],linear,NaN,337
-3,[0;7.225116235446313e-06],[0;0.05],hill,1,338
-3,[0;7.337258186711258e-06],[0;0.05],linear,NaN,339
-3,[0;7.337258186711258e-06],[0;0.05],hill,1,340
-3,[0;7.451140707514991e-06],[0;0.05],linear,NaN,341
-3,[0;7.451140707514991e-06],[0;0.05],hill,1,342
-3,[0;7.566790813459449e-06],[0;0.05],linear,NaN,343
-3,[0;7.566790813459449e-06],[0;0.05],hill,1,344
-3,[0;7.684235939459238e-06],[0;0.05],linear,NaN,345
-3,[0;7.684235939459238e-06],[0;0.05],hill,1,346
-3,[0;7.803503946249713e-06],[0;0.05],linear,NaN,347
-3,[0;7.803503946249713e-06],[0;0.05],hill,1,348
-3,[0;7.924623126996319e-06],[0;0.05],linear,NaN,349
-3,[0;7.924623126996319e-06],[0;0.05],hill,1,350
-3,[0;8.047622214006287e-06],[0;0.05],linear,NaN,351
-3,[0;8.047622214006287e-06],[0;0.05],hill,1,352
-3,[0;8.172530385544655e-06],[0;0.05],linear,NaN,353
-3,[0;8.172530385544655e-06],[0;0.05],hill,1,354
-3,[0;8.299377272756072e-06],[0;0.05],linear,NaN,355
-3,[0;8.299377272756072e-06],[0;0.05],hill,1,356
-3,[0;8.428192966693961e-06],[0;0.05],linear,NaN,357
-3,[0;8.428192966693961e-06],[0;0.05],hill,1,358
-3,[0;8.559008025458796e-06],[0;0.05],linear,NaN,359
-3,[0;8.559008025458796e-06],[0;0.05],hill,1,360
-3,[0;8.691853481447226e-06],[0;0.05],linear,NaN,361
-3,[0;8.691853481447226e-06],[0;0.05],hill,1,362
-3,[0;8.826760848713724e-06],[0;0.05],linear,NaN,363
-3,[0;8.826760848713724e-06],[0;0.05],hill,1,364
-3,[0;8.963762130446426e-06],[0;0.05],linear,NaN,365
-3,[0;8.963762130446426e-06],[0;0.05],hill,1,366
-3,[0;9.102889826559003e-06],[0;0.05],linear,NaN,367
-3,[0;9.102889826559003e-06],[0;0.05],hill,1,368
-3,[0;9.244176941400427e-06],[0;0.05],linear,NaN,369
-3,[0;9.244176941400427e-06],[0;0.05],hill,1,370
