log10c0,omega,deltaE,gtype,h,max_batches,tf_var,environment_type,id
-3,[0;5.64704731926103e-06],[0;0.05],hill,1,10000000,1,stochastic-tf,153
-3,[0;5.73469586146172e-06],[0;0.05],hill,1,10000000,1,stochastic-tf,154
-3,[0;5.823704807872902e-06],[0;0.05],hill,1,10000000,1,stochastic-tf,155
-3,[0;5.914095273501939e-06],[0;0.05],hill,1,8625420,1,stochastic-tf,156
-3,[0;6.005888701084965e-06],[0;0.05],hill,1,7593590,1,stochastic-tf,157
-3,[0;6.099106866173509e-06],[0;0.05],hill,1,6789280,1,stochastic-tf,158
-3,[0;6.193771882300265e-06],[0;0.05],hill,1,6142950,1,stochastic-tf,159
-3,[0;6.28990620622484e-06],[0;0.05],hill,1,5611060,1,stochastic-tf,160
-3,[0;6.387532643261124e-06],[0;0.05],hill,1,5164870,1,stochastic-tf,161
-3,[0;6.486674352687144e-06],[0;0.05],hill,1,4784640,1,stochastic-tf,162
-3,[0;6.587354853239086e-06],[0;0.05],hill,1,4456340,1,stochastic-tf,163
-3,[0;6.689598028690396e-06],[0;0.05],hill,1,4169710,1,stochastic-tf,164
-3,[0;6.793428133517661e-06],[0;0.05],hill,1,3917050,1,stochastic-tf,165
-3,[0;6.898869798654247e-06],[0;0.05],hill,1,3692500,1,stochastic-tf,166
-3,[0;7.005948037333434e-06],[0;0.05],hill,1,3491460,1,stochastic-tf,167
-3,[0;7.114688251022031e-06],[0;0.05],hill,1,3310330,1,stochastic-tf,168
-3,[0;7.225116235446313e-06],[0;0.05],hill,1,3146190,1,stochastic-tf,169
-3,[0;7.337258186711258e-06],[0;0.05],hill,1,2996700,1,stochastic-tf,170
-3,[0;7.451140707514991e-06],[0;0.05],hill,1,2859920,1,stochastic-tf,171
-3,[0;7.566790813459449e-06],[0;0.05],hill,1,2734250,1,stochastic-tf,172
-3,[0;7.684235939459238e-06],[0;0.05],hill,1,2618350,1,stochastic-tf,173
-3,[0;7.803503946249713e-06],[0;0.05],hill,1,2511100,1,stochastic-tf,174
-3,[0;7.924623126996319e-06],[0;0.05],hill,1,2411540,1,stochastic-tf,175
-3,[0;8.047622214006287e-06],[0;0.05],hill,1,2318840,1,stochastic-tf,176
-3,[0;8.172530385544655e-06],[0;0.05],hill,1,2232300,1,stochastic-tf,177
