log10c0,omega,deltaE,gtype,h,max_batches,tf_var,environment_type,id,final_rho,n_batches,end_S,end_NutIntegrals
-3,[0;3.003128636727507e-06],[0;0.05],hill,1,2500250,1,stochastic-tf,112,[0;0.919244686922274],2500250,0,0.000397911962183181
-3,[0;3.049740579601178e-06],[0;0.05],hill,1,2539830,1,stochastic-tf,113,[0;0.913427197939353],2539830,0,0.00104879545089195
-3,[0;3.097075992389493e-06],[0;0.05],hill,1,2581450,1,stochastic-tf,114,[0;0.919239847001521],2581450,0,0.00101560760319989
-3,[0;3.14514610416133e-06],[0;0.05],hill,1,2625260,1,stochastic-tf,115,[0;0.912467618575671],2625260,0,0.001052425498139
-3,[0;3.19396231827338e-06],[0;0.05],hill,1,2671440,1,stochastic-tf,116,[0;0.913913877175377],2671440,0,0.000927463117827813
-3,[0;3.243536215075305e-06],[0;0.05],hill,1,2720190,1,stochastic-tf,117,[0;0.914367702932142],2720190,0,0.00104488760677668
-3,[0;3.293879554656829e-06],[0;0.05],hill,1,2771730,1,stochastic-tf,118,[0;0.91281869952096],2771730,0,0.00105203167272011
-3,[0;3.345004279637556e-06],[0;0.05],hill,1,2826290,1,stochastic-tf,119,[0;0.921947695809298],2826290,0,0.00104161797656263
-3,[0;3.396922517999983e-06],[0;0.05],hill,1,2884160,1,stochastic-tf,120,[0;0.916027925048261],2884160,0,0.000983523571356936
-3,[0;3.449646585966603e-06],[0;0.05],hill,1,2945630,1,stochastic-tf,121,[0;0.91839266307259],2945630,0,0.00104564030573131
-3,[0;3.503188990921539e-06],[0;0.05],hill,1,3011060,1,stochastic-tf,122,[0;0.91235625769452],3011060,0,0.00105256325793426
-3,[0;3.55756243437765e-06],[0;0.05],hill,1,3080850,1,stochastic-tf,123,[0;0.913278081066211],3080850,0,0.0010415154136917
-3,[0;3.612779814989566e-06],[0;0.05],hill,1,3155430,1,stochastic-tf,124,[0;0.910942253431776],3155430,0,0.00105418001124012
-3,[0;3.668854231613615e-06],[0;0.05],hill,1,3235330,1,stochastic-tf,125,[0;0.91839266307259],2945630,0,0.00104564030573131
-3,[0;3.725798986415111e-06],[0;0.05],hill,1,3321130,1,stochastic-tf,126,[0;0.91235625769452],3011060,0,0.00105256325793426
-3,[0;3.783627588024008e-06],[0;0.05],hill,1,3413530,1,stochastic-tf,127,[0;0.913278081066211],3080850,0,0.0010415154136917
-3,[0;3.842353754739398e-06],[0;0.05],hill,1,3513310,1,stochastic-tf,128,[0;0.910942253431776],3155430,0,0.00105418001124012
-3,[0;3.901991417783874e-06],[0;0.05],hill,1,3621410,1,stochastic-tf,129,[0;0.91839266307259],2945630,0,0.00104564030573131
-3,[0;3.962554724608283e-06],[0;0.05],hill,1,3738930,1,stochastic-tf,130,[0;0.91235625769452],3011060,0,0.00105256325793426
-3,[0;4.024058042247893e-06],[0;0.05],hill,1,3867180,1,stochastic-tf,131,[0;0.913278081066211],3080850,0,0.0010415154136917
-3,[0;4.086515960730529e-06],[0;0.05],hill,1,4007710,1,stochastic-tf,132,[0;0.910942253431776],3155430,0,0.00105418001124012
-3,[0;4.149943296537731e-06],[0;0.05],hill,1,4162400,1,stochastic-tf,133,[NaN;NaN],NaN,NaN,NaN
-3,[0;4.214355096119509e-06],[0;0.05],hill,1,4333570,1,stochastic-tf,134,[NaN;NaN],NaN,NaN,NaN
-3,[0;4.279766639463777e-06],[0;0.05],hill,1,4524050,1,stochastic-tf,135,[NaN;NaN],NaN,NaN,NaN
-3,[0;4.346193443721056e-06],[0;0.05],hill,1,4737370,1,stochastic-tf,136,[NaN;NaN],NaN,NaN,NaN
-3,[0;4.413651266885578e-06],[0;0.05],hill,1,4978020,1,stochastic-tf,137,[NaN;NaN],NaN,NaN,NaN
-3,[0;4.482156111533377e-06],[0;0.05],hill,1,5251760,1,stochastic-tf,138,[NaN;NaN],NaN,NaN,NaN
-3,[0;4.551724228618551e-06],[0;0.05],hill,1,5566130,1,stochastic-tf,139,[NaN;NaN],NaN,NaN,NaN
-3,[0;4.622372121328291e-06],[0;0.05],hill,1,5931190,1,stochastic-tf,140,[NaN;NaN],NaN,NaN,NaN
-3,[0;4.694116548997901e-06],[0;0.05],hill,1,6360730,1,stochastic-tf,141,[NaN;NaN],NaN,NaN,NaN
-3,[0;4.766974531086432e-06],[0;0.05],hill,1,6874110,1,stochastic-tf,142,[NaN;NaN],NaN,NaN,NaN
-3,[0;4.840963351214164e-06],[0;0.05],hill,1,7499550,1,stochastic-tf,143,[NaN;NaN],NaN,NaN,NaN
-3,[0;4.916100561262621e-06],[0;0.05],hill,1,8279810,1,stochastic-tf,144,[NaN;NaN],NaN,NaN,NaN
-3,[0;4.992403985538355e-06],[0;0.05],hill,1,9283070,1,stochastic-tf,145,[NaN;NaN],NaN,NaN,NaN
-3,[0;5.069891725001217e-06],[0;0.05],hill,1,10000000,1,stochastic-tf,146,[NaN;NaN],NaN,NaN,NaN
-3,[0;5.148582161558407e-06],[0;0.05],hill,1,10000000,1,stochastic-tf,147,[NaN;NaN],NaN,NaN,NaN
-3,[0;5.22849396242501e-06],[0;0.05],hill,1,10000000,1,stochastic-tf,148,[NaN;NaN],NaN,NaN,NaN
-3,[0;5.309646084552382e-06],[0;0.05],hill,1,10000000,1,stochastic-tf,149,[NaN;NaN],NaN,NaN,NaN
-3,[0;5.392057779125099e-06],[0;0.05],hill,1,68970,1,stochastic-tf,150,[NaN;NaN],NaN,NaN,NaN
-3,[0;5.475748596127871e-06],[0;0.05],hill,1,9813560,1,stochastic-tf,151,[NaN;NaN],NaN,NaN,NaN
-3,[0;5.560738388983174e-06],[0;0.05],hill,1,10000000,1,stochastic-tf,152,[NaN;NaN],NaN,NaN,NaN
-3,[0;5.64704731926103e-06],[0;0.05],hill,1,10000000,1,stochastic-tf,153,[NaN;NaN],NaN,NaN,NaN
-3,[0;5.73469586146172e-06],[0;0.05],hill,1,10000000,1,stochastic-tf,154,[NaN;NaN],NaN,NaN,NaN
-3,[0;5.823704807872902e-06],[0;0.05],hill,1,10000000,1,stochastic-tf,155,[NaN;NaN],NaN,NaN,NaN
-3,[0;5.914095273501939e-06],[0;0.05],hill,1,8625420,1,stochastic-tf,156,[NaN;NaN],NaN,NaN,NaN
-3,[0;6.005888701084965e-06],[0;0.05],hill,1,7593590,1,stochastic-tf,157,[NaN;NaN],NaN,NaN,NaN
-3,[0;6.099106866173509e-06],[0;0.05],hill,1,6789280,1,stochastic-tf,158,[NaN;NaN],NaN,NaN,NaN
-3,[0;6.193771882300265e-06],[0;0.05],hill,1,6142950,1,stochastic-tf,159,[NaN;NaN],NaN,NaN,NaN
-3,[0;6.28990620622484e-06],[0;0.05],hill,1,5611060,1,stochastic-tf,160,[NaN;NaN],NaN,NaN,NaN
