log10c0,Omega,deltaE,gtype,h,max_batches,tf_var,environment_type,id,final_rho,n_batches,end_S,end_NutIntegrals
-3,[0;7.169689644091884e-07],[0;0.05],hill,1,869472,1,stochastic-c0,19,[2.5405423422417e-16;1.04626565056222],869472,8.95244647878651e-15,0.000419016344367856
-3,[0;7.280971312158083e-07],[0;0.05],hill,1,871182,1,stochastic-c0,20,[2.54537931070546e-16;1.03271635675683],871182,9.08014826956348e-15,0.00668158661359846
-3,[0;7.39398019719771e-07],[0;0.05],hill,1,872928,1,stochastic-c0,21,[2.51065022629715e-16;1.00255275397839],872928,9.21818118643741e-15,0.0010694329283648
-3,[0;7.508743107565892e-07],[0;0.05],hill,1,874710,1,stochastic-c0,22,[2.51129059909368e-16;0.987451679762212],874710,9.3541638154659e-15,0.000736091520799521
-3,[0;7.625287267713598e-07],[0;0.05],hill,1,876528,1,stochastic-c0,23,[2.54225048753393e-16;0.984652543821349],876528,9.48913116448498e-15,0.000759957390383344
-3,[0;7.743640324646035e-07],[0;0.05],hill,1,878382,1,stochastic-c0,24,[2.59233636874551e-16;0.989059652752948],878382,9.62565629967221e-15,0.000759081563061868
-3,[0;7.863830354481048e-07],[0;0.05],hill,1,880272,1,stochastic-c0,25,[2.74776056851912e-16;1.03434334903674],880272,9.74950228410049e-15,0.000260453267001687
-3,[0;7.985885869109547e-07],[0;0.05],hill,1,882198,1,stochastic-c0,26,[2.80019934373384e-16;1.03753747698209],882198,9.89716546870471e-15,0.000435489845120649
-3,[0;8.109835822959081e-07],[0;0.05],hill,1,884172,1,stochastic-c0,27,[2.66008479580644e-16;0.966814150952969],884172,1.00800773024174e-14,0.000145614242926439
-3,[0;8.23570961986263e-07],[0;0.05],hill,1,886176,1,stochastic-c0,28,[2.82546802030303e-16;1.01220492508159],886176,1.02193901868399e-14,0.000277767842611806
-3,[0;8.36353712003375e-07],[0;0.05],hill,1,888228,1,stochastic-c0,29,[2.75995352838713e-16;0.970461947528622],888228,1.04023253393237e-14,0.00182253950399422
-3,[0;8.49334864715025e-07],[0;0.05],hill,1,890322,1,stochastic-c0,30,[2.70891067854018e-16;0.93482094927987],890322,1.05895722710558e-14,0.000250087443139636
-3,[0;8.625174995547547e-07],[0;0.05],hill,1,892458,1,stochastic-c0,31,[2.83698480509883e-16;0.963575481597664],892458,1.08620682431783e-14,0.000794532934327898
-3,[0;8.759047437523934e-07],[0;0.05],hill,1,894636,1,stochastic-c0,32,[3.00455303607881e-16;1.00451437765242],894636,1.09137743290053e-14,0.00111658365782806
-3,[0;8.894997730758971e-07],[0;0.05],hill,1,896862,1,stochastic-c0,33,[2.89748218653377e-16;0.948862025148728],896862,1.12422009998135e-14,0.00108589567486793
-3,[0;9.033058125847283e-07],[0;0.05],hill,1,899136,1,stochastic-c0,34,[3.08694809982173e-16;0.994835487059871],899136,1.14134749916791e-14,0.000167670558324263
-3,[0;9.173261373949022e-07],[0;0.05],hill,1,901458,1,stochastic-c0,35,[2.98613500821707e-16;0.94213859779754],901458,1.16444095874988e-14,0.000668671958072403
-3,[0;9.315640734559348e-07],[0;0.05],hill,1,903828,1,stochastic-c0,36,[3.14576265836921e-16;0.975404270677211],903828,1.18370782787268e-14,0.00196899699679756
-3,[0;9.460229983398216e-07],[0;0.05],hill,1,906252,1,stochastic-c0,37,[3.27284363730173e-16;0.996474656207121],906252,1.20427455516868e-14,0.00317918259866478
-3,[0;9.607063420422916e-07],[0;0.05],hill,1,908724,1,stochastic-c0,38,[3.3302660839006e-16;0.993980528246757],908724,1.22714240780728e-14,0.000151164243112824
-3,[0;9.75617587796468e-07],[0;0.05],hill,1,911250,1,stochastic-c0,39,[3.49568081709309e-16;1.0240219959754],911250,1.26014138232556e-14,0.00203136110173825
-3,[0;9.907602728991875e-07],[0;0.05],hill,1,913830,1,stochastic-c0,40,[3.35939654277967e-16;0.961193218561914],913830,1.2771876175361e-14,0.00141968850917665
-3,[0;1.006137989550114e-06],[0;0.05],hill,1,916470,1,stochastic-c0,41,[3.73389076676398e-16;1.05082797163029],916470,1.30843620288473e-14,0.000584023986289406
-3,[0;1.02175438570391e-06],[0;0.05],hill,1,919164,1,stochastic-c0,42,[3.57947119643074e-16;0.982981208598451],919164,1.32780299358516e-14,0.000909725244041119
-3,[0;1.0376131659356e-06],[0;0.05],hill,1,921918,1,stochastic-c0,43,[3.74381654352145e-16;1.00719341174903],921918,1.36502816314666e-14,0.000343403588643927
-3,[0;1.053718092319395e-06],[0;0.05],hill,1,924732,1,stochastic-c0,44,[3.68206500958844e-16;0.966986792350747],924732,1.3852300621879e-14,0.000259964014880235
-3,[0;1.070072985321137e-06],[0;0.05],hill,1,927612,1,stochastic-c0,45,[3.63312489742317e-16;0.93125876583083],927612,1.417491824798e-14,0.00125834048431955
