log10c0,Omega,deltaE,gtype,h,id,final_rho,n_batches,end_S,end_NutIntegrals
-3,[0;6.845945966749459e-07],[0;0.05],hill,1,32,[0.00239434881138476;0.991298659637547],144088,0.0169321464302799,0.000966483888655187
-3,[0;6.952202767878727e-07],[0;0.05],linear,NaN,33,[0.00239951610653712;0.991197463465345],144357,0.0169648818761708,0.000966063026632371
-3,[0;6.952202767878727e-07],[0;0.05],hill,1,34,[0.00239951612631922;0.991197079245747],144357,0.0169648876210656,0.000966577826580933
-3,[0;7.060108794380377e-07],[0;0.05],linear,NaN,35,[0.00240471675271746;0.991094372821627],144632,0.0169978408276998,0.000966158369887842
-3,[0;7.060108794380377e-07],[0;0.05],hill,1,36,[0.00240471677526512;0.991093988949465],144632,0.0169978465953637,0.000966673219441637
-3,[0;7.169689644091884e-07],[0;0.05],linear,NaN,37,[0.00241006495591558;0.990989636507077],144912,0.017031709946913,0.000966255194305482
-3,[0;7.169689644091884e-07],[0;0.05],hill,1,38,[0.00241006498133702;0.990989252995152],144912,0.0170317157380839,0.000966770094901077
-3,[0;7.280971312158083e-07],[0;0.05],linear,NaN,39,[0.00241557600919857;0.990883216748177],145197,0.0170665815891358,0.000966353523501598
-3,[0;7.280971312158083e-07],[0;0.05],hill,1,40,[0.00241557603734325;0.990882833595701],145197,0.0170665874032145,0.000966868474952059
-3,[0;7.39398019719771e-07],[0;0.05],linear,NaN,41,[0.00242116634249566;0.990775173589519],145488,0.0171019493412727,0.000966453377712445
-3,[0;7.39398019719771e-07],[0;0.05],hill,1,42,[0.0024211663734988;0.990774790798358],145488,0.0171019551791854,0.000966968382053103
-3,[0;7.508743107565892e-07],[0;0.05],linear,NaN,43,[0.00242685219961415;0.990665467605138],145785,0.0171379116209871,0.000966554780770653
-3,[0;7.508743107565892e-07],[0;0.05],hill,1,44,[0.00242685223364674;0.990665085187226],145785,0.0171379174837572,0.000967069838377374
-3,[0;7.625287267713598e-07],[0;0.05],linear,NaN,45,[0.00243265031161898;0.990554058563866],146088,0.0171745696797021,0.000966657757956639
-3,[0;7.625287267713598e-07],[0;0.05],hill,1,46,[0.00243265034849791;0.990553676521784],146088,0.0171745755663835,0.000967172869241177
-3,[0;7.743640324646035e-07],[0;0.05],linear,NaN,47,[0.00243857791359646;0.990440905388026],146397,0.01721202769516,0.000966762333289373
-3,[0;7.743640324646035e-07],[0;0.05],hill,1,48,[0.00243857795381186;0.990440523729058],146397,0.0172120336088323,0.000967277499763785
-3,[0;7.863830354481048e-07],[0;0.05],linear,NaN,49,[0.00244465276581094;0.99032596613617],146712,0.0172503928886332,0.000966868532254122
-3,[0;7.863830354481048e-07],[0;0.05],hill,1,50,[0.00244465280884998;0.990325584874125],146712,0.0172503988262579,0.000967383754892456
