log10c0,omega,deltaE,gtype,h,id,final_rho,n_batches,end_S,end_NutIntegrals
-1.73684210526316,[0;0.0009437830940242192],[0;1],hill,1,5604,[1.41605598288876e-05;0.674054431619558],2241,0.000247272331623408,0.0134673593733576
-1.73684210526316,[0;0.0009584316718859166],[0;1],linear,NaN,5605,[1.42758365484511e-05;0.670646854008975],2271,0.000250271393409451,0.0135269161114879
-1.73684210526316,[0;0.0009584316718859166],[0;1],hill,1,5606,[1.42792878321418e-05;0.670651371359766],2271,0.00025032520763354,0.0135351127846285
-1.73684210526316,[0;0.0009733076121942705],[0;1],linear,NaN,5607,[1.44216431803489e-05;0.667225568750591],2302,0.000253793694077101,0.0135955727978095
-1.73684210526316,[0;0.0009733076121942705],[0;1],hill,1,5608,[1.44252629428928e-05;0.667230179191167],2302,0.000253850363436525,0.0136039226851959
-1.73684210526316,[0;0.0009884144438708344],[0;1],linear,NaN,5609,[1.46004568797307e-05;0.663786421259851],2334,0.000257886912014527,0.0136652952776201
-1.73684210526316,[0;0.0009884144438708344],[0;1],hill,1,5610,[1.46043312222152e-05;0.6637913145454],2334,0.000257947766146835,0.0136738040066394
-1.73684210526316,[0;0.001003755750610004],[0;1],linear,NaN,5611,[1.47526441567043e-05;0.660329715554804],2368,0.00026159065318209,0.0137361001095213
-1.73684210526316,[0;0.001003755750610004],[0;1],hill,1,5612,[1.47566876876035e-05;0.660334009123357],2368,0.000261654670465967,0.0137447934711152
-1.73684210526316,[0;0.001019335171729154],[0;1],linear,NaN,5613,[1.48858685093947e-05;0.656855722244888],2404,0.00026502560885832,0.013808004245193
-1.73684210526316,[0;0.001019335171729154],[0;1],hill,1,5614,[1.48900901097801e-05;0.656859486307522],2404,0.000265092951009239,0.0138168877658276
-1.73684210526316,[0;0.001035156403031966],[0;1],linear,NaN,5615,[1.50734050611301e-05;0.653364680318956],2441,0.000269386528300687,0.0138810250193187
-1.73684210526316,[0;0.001035156403031966],[0;1],hill,1,5616,[1.50778321003508e-05;0.653367980059857],2441,0.000269457624139808,0.0138901050734506
-1.73684210526316,[0;0.001051223197685166],[0;1],linear,NaN,5617,[1.52582621933914e-05;0.649856912982437],2480,0.000273749455435262,0.0139551797647404
-1.73684210526316,[0;0.001051223197685166],[0;1],hill,1,5618,[1.52628979574848e-05;0.649859808530717],2480,0.000273824374275931,0.0139644636420995
-1.73684210526316,[0;0.001067539367108856],[0;1],linear,NaN,5619,[1.54499003177906e-05;0.646332736570048],2521,0.000278270591242678,0.0140304870734565
